id,name,neighbourhood,latitude,longitude,host_id,host_name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,ratings,bedrooms,beds,baths
26500988,Hut in 台東区,Taito Ku,35.70271,139.79109,194366320,Isa And Yumi,Private room,15643,1,20,0.34,58,4.8,1.0,3.0,4.0
26763404,Condo in shinagawa-ku,Shinagawa Ku,35.63262,139.71542,70213380,Tomohiro,Entire home/apt,25000,1,82,1.38,267,4.88,1.0,1.0,1.0
26510042,Rental unit in 港区,Minato Ku,35.675,139.73582,198552582,Masa,Entire home/apt,9914,3,82,1.36,27,4.72,1.0,3.0,1.0
26786325,Aparthotel in Nakano-ku,Nakano Ku,35.70852,139.68669,179911926,Yuki,Hotel room,18857,1,97,1.61,121,4.88,1.0,1.0,1.0
26786529,Boutique hotel in Nakano-ku,Nakano Ku,35.70852,139.68669,179911926,Yuki,Hotel room,18143,1,159,2.65,84,4.89,1.0,2.0,1.0
26521932,Rental unit in Setagaya-ku,Setagaya Ku,35.641692,139.664945,199463250,Atsushi,Entire home/apt,20857,2,145,2.4,141,4.39,1.0,1.0,1.0
26800104,Hut in 台東区,Taito Ku,35.70271,139.79109,194366320,Isa And Yumi,Shared room,6857,1,44,0.74,91,4.98,1.0,2.0,5.0
26825588,Home in Meguro-ku,Meguro Ku,35.62093,139.69958,201736124,Kumi,Entire home/apt,48000,2,77,1.28,121,4.7,5.0,10.0,2.0
26537959,Home in 港区,Minato Ku,35.65846,139.74057,199579330,Keibun,Entire home/apt,10029,1,127,2.12,221,4.7,1.0,2.0,1.0
26860834,Condo in Shinjuku-ku,Shinjuku Ku,35.69158172607422,139.7235870361328,115432704,ｼﾞｬﾝ,Entire home/apt,34986,1,70,1.17,20,4.77,1.0,4.0,1.0
26542187,Rental unit in 港区,Minato Ku,35.67526,139.73667,198552582,Masa,Entire home/apt,9800,3,68,1.13,10,4.71,1.0,2.0,1.0
26877744,Home in Taitō,Taito Ku,35.706,139.78728,202165575,孟雲,Entire home/apt,30000,3,62,1.03,92,4.9,3.0,7.0,1.0
26543672,Rental unit in Shibuya-ku,Shibuya Ku,35.65392,139.70964,159023956,Hajime,Private room,26000,3,101,1.67,164,4.82,1.0,6.0,1.0
